Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD_3correlation_energy_Delta_E_AB_AB,CCSD_3correlation_energy_BSSE_A,CCSD_3correlation_energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.009116569221276904,)","(0.0003117944704911224,)","(0.0003118041189509313,)","(-2.5901627105973102e-05,)","(0.0001356762448650184,)","(0.0001356762448650184,)","(-5.775409264099961e-05,)","(3.2878107014000166e-05,)","(3.2879103233000254e-05,)","(-0.0001379695344180254,)","(1.2569994487982017e-05,)","(1.2578646638977675e-05,)","(0.00933819447601536,)","(0.0001306701240082475,)","(0.0001306701240082475,)",1.5,0.75,1.25
"(0.004230837824962919,)","(0.00021450547981771706,)","(0.00021450466482519914,)","(-0.00011939937641303189,)","(9.845895841700814e-05,)","(9.845895841700814e-05,)","(-4.648831446200019e-05,)","(2.497645841500031e-05,)","(2.4976658988999992e-05,)","(-9.022930727697887e-05,)","(6.062812116985894e-06,)","(6.0617962579778695e-06,)","(0.004486954823960332,)","(8.50072509877009e-05,)","(8.50072509877009e-05,)",1.5,0.75,1.5
"(0.0017840213830879748,)","(0.00018972919662019194,)","(0.000189726887327879,)","(-0.00015119689413101156,)","(7.493880355499694e-05,)","(7.493880355399773e-05,)","(-3.4901083620999824e-05,)","(1.8676355019999966e-05,)","(1.8677752553000315e-05,)","(-5.459729563297988e-05,)","(6.054381485987026e-06,)","(6.050674596996819e-06,)","(0.002024716656023884,)","(9.005965600294985e-05,)","(9.005965600294985e-05,)",1.5,0.75,1.75
"(0.033032564217791105,)","(0.000823328623823727,)","(0.0008233106549653257,)","(0.0003823350151520022,)","(0.00034034100443899873,)","(0.00034034100443899873,)","(-7.44902543990001e-05,)","(4.901476482600028e-05,)","(4.9013870693e-05,)","(-0.0002291016882280117,)","(3.243993485699259e-05,)","(3.2422860198000336e-05,)","(0.032953821144985795,)","(0.0004015329189996919,)","(0.0004015329189996919,)",1.5,1.0,0.25
"(0.026030012629661314,)","(0.0006975079666062811,)","(0.000697480303614384,)","(0.0002769025640479983,)","(0.0002791870155220144,)","(0.0002791870155220144,)","(-7.168078585399968e-05,)","(4.5657680519000255e-05,)","(4.565609565200003e-05,)","(-0.00021519000016897993,)","(2.9167737226970525e-05,)","(2.9141659008968812e-05,)","(0.026039980851976452,)","(0.0003434955330021694,)","(0.0003434955330021694,)",1.5,1.0,0.5
"(0.017701619544226332,)","(0.0005203460437144258,)","(0.0005203442063930197,)","(0.0001367893850140467,)","(0.00020609169135202277,)","(0.00020609169135202277,)","(-6.689885017500041e-05,)","(4.067371392999994e-05,)","(4.067394308399997e-05,)","(-0.00018774350378006344,)","(2.29421349679515e-05,)","(2.294006838496343e-05,)","(0.01781947251299698,)","(0.0002506385029903413,)","(0.0002506385029903413,)",1.5,1.0,0.75
"(0.010532898886594921,)","(0.00034617554001670214,)","(0.0003461688296511056,)","(1.9892595309878303e-06,)","(0.0001466539277500123,)","(0.0001466539277510115,)","(-5.9827630883000065e-05,)","(3.451200910100033e-05,)","(3.451159564000009e-05,)","(-0.00014847181154295508,)","(1.4575033842972873e-05,)","(1.4568737168985102e-05,)","(0.010739209070038669,)","(0.00015043456900798446,)","(0.00015043456900798446,)",1.5,1.0,1.0
"(0.005566378412396489,)","(0.00023551018884404584,)","(0.00023551042596636762,)","(-9.522920728199935e-05,)","(0.00010892122708799912,)","(0.00010892122708699992,)","(-5.050641551999956e-05,)","(2.7614948243000204e-05,)","(2.7615121493000053e-05,)","(-0.00010555933269904005,)","(7.538556674985264e-06,)","(7.538620549973896e-06,)","(0.005817673368994747,)","(9.143545699430433e-05,)","(9.143545699430433e-05,)",1.5,1.0,1.25
"(0.002646141093521237,)","(0.00019766031078916058,)","(0.00019766728325976146,)","(-0.00014326510966999884,)","(8.430264770001306e-05,)","(8.430264761902229e-05,)","(-3.9924212307000315e-05,)","(2.1139426666000154e-05,)","(2.1137782565999914e-05,)","(-6.86278981980315e-05,)","(5.413485610977764e-06,)","(5.4220303079555165e-06,)","(0.0028979583129569164,)","(8.680474999778198e-05,)","(8.680482198997197e-05,)",1.5,1.0,1.5
"(0.001131176048289717,)","(0.00017848905972073226,)","(0.00017849535441882836,)","(-0.00015177045438302672,)","(6.672880614599919e-05,)","(6.672880614599919e-05,)","(-2.9820224957000357e-05,)","(1.6667989321999914e-05,)","(1.6667882139000025e-05,)","(-4.220765454696074e-05,)","(7.229447160000957e-06,)","(7.2358490429969e-06,)","(0.0013549743829912586,)","(8.786281699713072e-05,)","(8.786281699713072e-05,)",1.5,1.0,1.75
"(0.01641338891161581,)","(0.000490110419065104,)","(0.0004901294684600543,)","(0.00011352467187697446,)","(0.00019502821038400175,)","(0.00019502821038400175,)","(-6.591030726300039e-05,)","(3.974463731099996e-05,)","(3.9746771568000255e-05,)","(-0.000182025793205004,)","(2.164631041798315e-05,)","(2.16632253359772e-05,)","(0.016547800341015773,)","(0.0002336912610019226,)","(0.0002336912610019226,)",1.5,1.25,0.25
"(0.013121927538833233,)","(0.0004102524964650911,)","(0.0004102730692068235,)","(5.210571846897549e-05,)","(0.0001674396356210195,)","(0.00016743963557699915,)","(-6.289949176099992e-05,)","(3.7064333853000214e-05,)","(3.7065903399000327e-05,)","(-0.0001649072860309686,)","(1.797759451696579e-05,)","(1.799652582698541e-05,)","(0.013297628597996436,)","(0.00018777093200128547,)","(0.00018777100399347546,)",1.5,1.25,0.5
"(0.009116577926903346,)","(0.0003118097012588805,)","(0.000311808708403305,)","(-2.5901931911986864e-05,)","(0.0001356762075420126,)","(0.0001356762075410134,)","(-5.775286875300042e-05,)","(3.287998845600019e-05,)","(3.287842317599996e-05,)","(-0.00013796172353403025,)","(1.2583382006964294e-05,)","(1.2583953724970565e-05,)","(0.009338194451999016,)","(0.00013067012301348768,)","(0.0001306701240082475,)",1.5,1.25,0.75
"(0.005566356677917383,)","(0.00023548952657392874,)","(0.00023551244831310214,)","(-9.522905815001481e-05,)","(0.00010892121557401491,)","(0.00010892121557401491,)","(-5.0507191770000036e-05,)","(2.7612790554000077e-05,)","(2.7615323095999973e-05,)","(-0.0001055803830569968,)","(7.520064190968956e-06,)","(7.540453006965597e-06,)","(0.00581767331101446,)","(9.14354559995445e-05,)","(9.14354559995445e-05,)",1.5,1.25,1.0
"(0.003022208846743979,)","(0.0002009805431271161,)","(0.0002010214701613222,)","(-0.00013837755039197708,)","(8.79439096330148e-05,)","(8.79439096330148e-05,)","(-4.1726299121999915e-05,)","(2.2128281471000318e-05,)","(2.2131625884999964e-05,)","(-7.41131254230476e-05,)","(5.410377592968141e-06,)","(5.4479600889723034e-06,)","(0.0032764258210136177,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",1.5,1.25,1.25
"(0.0014672323466129455,)","(0.00018541885901868227,)","(0.0001854149580253761,)","(-0.00015232132563697265,)","(7.107344968501628e-05,)","(7.107344968601548e-05,)","(-3.2622618592999687e-05,)","(1.7712377864000095e-05,)","(1.7712648080000278e-05,)","(-4.8839889469992626e-05,)","(6.5466145269810205e-06,)","(6.542443446971857e-06,)","(0.0017010161800214973,)","(9.008641700347653e-05,)","(9.00864160087167e-05,)",1.5,1.25,1.5
"(0.0006266942046408985,)","(0.00015832974901286434,)","(0.00015834272659276394,)","(-0.00014507219726594967,)","(6.0026833658022305e-05,)","(6.0026833659021506e-05,)","(-2.4455793900000043e-05,)","(1.5083177904000062e-05,)","(1.5084823812000232e-05,)","(-3.07149201440593e-05,)","(8.410898036964598e-06,)","(8.422229710952633e-06,)","(0.0008269371160167793,)","(7.48088390025714e-05,)","(7.48088390025714e-05,)",1.5,1.25,1.75
"(0.007362912303022995,)","(0.00027158465883303506,)","(0.00027150700449851684,)","(-6.051829623798799e-05,)","(0.00012241432232101834,)","(0.00012241432232101834,)","(-5.463484145199968e-05,)","(3.0535912177000104e-05,)","(3.05301121550001e-05,)","(-0.00012314200328197855,)","(1.009100445698019e-05,)","(1.0019150115975206e-05,)","(0.00760120744496362,)","(0.0001085434199978863,)","(0.0001085434199978863,)",1.5,1.5,0.25
"(0.005966619939869133,)","(0.0002428587779377267,)","(0.0002431266463815973,)","(-8.764110002601466e-05,)","(0.00011194905027800406,)","(0.0001119490502120013,)","(-5.1539263015999356e-05,)","(2.8317729111000233e-05,)","(2.8314715380000233e-05,)","(-0.00010952560338201023,)","(8.044825539982314e-06,)","(8.315636080974409e-06,)","(0.00621532590599827,)","(9.454717300627635e-05,)","(9.454724400370651e-05,)",1.5,1.5,0.5
"(0.0042308703430649075,)","(0.0002145096474350794,)","(0.0002145086936025109,)","(-0.0001193991801110017,)","(9.845887298801093e-05,)","(9.845887298901013e-05,)","(-4.648882295999997e-05,)","(2.4976324754000072e-05,)","(2.497651572900021e-05,)","(-9.019648038099959e-05,)","(6.067199193965367e-06,)","(6.066054392989129e-06,)","(0.004486954826006695,)","(8.500724999294107e-05,)","(8.500724999294107e-05,)",1.5,1.5,0.75
"(0.002646123494855601,)","(0.00019766018564837395,)","(0.00019767294983807915,)","(-0.0001432651463220136,)","(8.430259173300425e-05,)","(8.430259173200505e-05,)","(-3.992094397100047e-05,)","(2.113941341200026e-05,)","(2.1138515997999943e-05,)","(-6.864865761097017e-05,)","(5.413430313988554e-06,)","(5.4270916059750984e-06,)","(0.0028979582430110895,)","(8.680474999778198e-05,)","(8.680474999778198e-05,)",1.5,1.5,1.0
"(0.0014672422595651824,)","(0.00018542229557283463,)","(0.00018541904228186468,)","(-0.00015232139506499154,)","(7.107343517601117e-05,)","(7.107343517601117e-05,)","(-3.262030888800038e-05,)","(1.771389778900019e-05,)","(1.771371736099996e-05,)","(-4.883221564699891e-05,)","(6.548546212986617e-06,)","(6.5454731439651415e-06,)","(0.0017010161790267375,)","(9.00864160087167e-05,)","(9.00864160087167e-05,)",1.5,1.5,1.25
"(0.0007155194645065421,)","(0.00016319749809667883,)","(0.00016321032265409485,)","(-0.00014701996425198205,)","(6.118518458000932e-05,)","(6.118518458000932e-05,)","(-2.5547679692999262e-05,)","(1.536470794500028e-05,)","(1.5364525648000303e-05,)","(-3.294856831900783e-05,)","(8.217430923967983e-06,)","(8.230437787970502e-06,)","(0.0009210356760149807,)","(7.843017399977725e-05,)","(7.843017399977725e-05,)",1.5,1.5,1.5
"(0.00029231462579559775,)","(0.00013166425188160247,)","(0.000131659983821919,)","(-0.00013193271775796545,)","(5.6102572439015175e-05,)","(5.6102572439015175e-05,)","(-1.940418893300053e-05,)","(1.3959638159000056e-05,)","(1.3959825284000013e-05,)","(-2.1282597843008677e-05,)","(8.797520048980934e-06,)","(8.79306467996277e-06,)","(0.0004649341299796106,)","(5.280452100464572e-05,)","(5.280452100464572e-05,)",1.5,1.5,1.75
"(0.0030221835251609264,)","(0.00020097833069598892,)","(0.0002009637725848279,)","(-0.00013837443156500262,)","(8.794600430600541e-05,)","(8.794600430600541e-05,)","(-4.172592336900002e-05,)","(2.2127556196000105e-05,)","(2.2128442865000045e-05,)","(-7.414188813797962e-05,)","(5.4067955619907515e-06,)","(5.3913508429870305e-06,)","(0.003276425767978708,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",1.5,1.75,0.25
"(0.002476836532281368,)","(0.00019623493653853075,)","(0.00019622628198590064,)","(-0.00014523514287700934,)","(8.258436164901295e-05,)","(8.258436164901295e-05,)","(-3.9044658108000185e-05,)","(2.0676975425000174e-05,)","(2.067522412799996e-05,)","(-6.602675668601621e-05,)","(5.472624389962766e-06,)","(5.465721066966189e-06,)","(0.0027271430899986626,)","(8.750097501319942e-05,)","(8.750097501319942e-05,)",1.5,1.75,0.5
"(0.001784022637224325,)","(0.00018973197242644346,)","(0.00018972418001794722,)","(-0.00015119794079399007,)","(7.493872381100775e-05,)","(7.493872381100775e-05,)","(-3.49030794579994e-05,)","(1.86763376290003e-05,)","(1.867613267400028e-05,)","(-5.459300080201679e-05,)","(6.057254460983819e-06,)","(6.049666890967087e-06,)","(0.0020247166580134035,)","(9.005965600294985e-05,)","(9.005965600294985e-05,)",1.5,1.75,0.75
"(0.00113121656443127,)","(0.0001785004334919904,)","(0.00017851552445335983,)","(-0.00015177047684999945,)","(6.672873356800002e-05,)","(6.672873356600162e-05,)","(-2.9821712417000146e-05,)","(1.6668405353999997e-05,)","(1.6668386509000217e-05,)","(-4.216562934603041e-05,)","(7.2404773219791885e-06,)","(7.255587099991301e-06,)","(0.0013549743829912586,)","(8.786281699713072e-05,)","(8.786281699713072e-05,)",1.5,1.75,1.0
"(0.0006266936965175773,)","(0.00015834422620741861,)","(0.00015834161402494829,)","(-0.0001450720280389839,)","(6.0026851716021845e-05,)","(6.0026851716021845e-05,)","(-2.4454903998000297e-05,)","(1.5083669515000234e-05,)","(1.5084843522999991e-05,)","(-3.0716511378037215e-05,)","(8.424865317963048e-06,)","(8.421078822956618e-06,)","(0.0008269371399762804,)","(7.48088390025714e-05,)","(7.480883999733123e-05,)",1.5,1.75,1.25
"(0.0002923038012170309,)","(0.0001316635374166708,)","(0.00013165615234811412,)","(-0.00013193276885803407,)","(5.610258064800422e-05,)","(5.610258064800422e-05,)","(-1.940536212699951e-05,)","(1.3959810146000218e-05,)","(1.3958548771000109e-05,)","(-2.129219874694166e-05,)","(8.79662515398949e-06,)","(8.790501568989306e-06,)","(0.00046493413100279213,)","(5.280452100464572e-05,)","(5.280452100464572e-05,)",1.5,1.75,1.5
"(9.885031815315415e-05,)","(0.00010729378072937834,)","(0.00010721214559339387,)","(-0.0001145274097519855,)","(5.41851846090069e-05,)","(5.41851846090069e-05,)","(-1.4988521866999768e-05,)","(1.2977560811000023e-05,)","(1.2968961913000128e-05,)","(-1.395916699298283e-05,)","(8.185768763990797e-06,)","(8.112732530984879e-06,)","(0.00024232541596802548,)","(3.194526598804259e-05,)","(3.194526598804259e-05,)",1.5,1.75,1.75
"(0.0388440749108554,)","(0.0009146070086387681,)","(0.0009145800930525638,)","(0.00046256671636302205,)","(0.00038963330668800866,)","(0.00038963330668800866,)","(-7.637714356300033e-05,)","(5.147061734900012e-05,)","(5.146792411300002e-05,)","(-0.0002361880364210034,)","(3.4347268226986305e-05,)","(3.432304601597158e-05,)","(0.03869407337498387,)","(0.000439155815996628,)","(0.000439155815996628,)",1.75,0.25,0.25
"(0.030491841061490277,)","(0.0007798908483778177,)","(0.0007798880295979416,)","(0.00034526152057501314,)","(0.0003183235875970081,)","(0.00031832358759600887,)","(-7.354807381199958e-05,)","(4.7858556774000183e-05,)","(4.785842007700011e-05,)","(-0.00022475953779299562,)","(3.142851046097905e-05,)","(3.14258280149915e-05,)","(0.030444887152981437,)","(0.00038228019300845517,)","(0.000382280194003215,)",1.75,0.25,0.5
"(0.020620515287731678,)","(0.0005860776020085723,)","(0.000586076897974408,)","(0.00018788258223895182,)","(0.00023151536037199771,)","(0.00023151536037199771,)","(-6.883523341199953e-05,)","(4.259146615400019e-05,)","(4.259366787700029e-05,)","(-0.00019904552134794584,)","(2.549059770498574e-05,)","(2.5487691734993323e-05,)","(0.02070051346001378,)","(0.00028648017701016215,)","(0.000286480178004922,)",1.75,0.25,0.75
"(0.012189685998805544,)","(0.00038716636476010535,)","(0.00038716529576277026,)","(3.422241220901734e-05,)","(0.00015985068061802332,)","(0.00015985068057200458,)","(-6.188271887500041e-05,)","(3.6199567406e-05,)","(3.619724576700003e-05,)","(-0.0001593443717450016,)","(1.6798246473964662e-05,)","(1.6799427106972686e-05,)","(0.012376690676973112,)","(0.00017431787000532495,)","(0.00017431794199751494,)",1.75,0.25,1.0
"(0.006397379417819593,)","(0.00025127771766619844,)","(0.000251277281165585,)","(-7.93567308169929e-05,)","(0.0001151874804580233,)","(0.0001151874804580233,)","(-5.25606094570006e-05,)","(2.904174821499999e-05,)","(2.9041531411999957e-05,)","(-0.00011408989052003049,)","(8.653646428963269e-06,)","(8.653427109955869e-06,)","(0.006643386649045624,)","(9.839484201279447e-05,)","(9.839484201279447e-05,)",1.75,0.25,1.25
"(0.003022149359054538,)","(0.00020096255735779778,)","(0.00020097034555988103,)","(-0.00013837779936798356,)","(8.794394387801052e-05,)","(8.794394387801052e-05,)","(-4.172728798600015e-05,)","(2.212785608200025e-05,)","(2.2127847322000148e-05,)","(-7.417132197104492e-05,)","(5.392782860963452e-06,)","(5.400579796976945e-06,)","(0.003276425767978708,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",1.75,0.25,1.5
"(0.001288393622331796,)","(0.00018214397437077423,)","(0.0001822366591284208,)","(-0.00015229828146101632,)","(6.878770956300628e-05,)","(6.878770956200708e-05,)","(-3.117745669599988e-05,)","(1.7158185962999964e-05,)","(1.71700877590001e-05,)","(-4.528454550797867e-05,)","(6.897811502981632e-06,)","(6.978594636969371e-06,)","(0.0015171539060361283,)","(8.930026700681992e-05,)","(8.930026700681992e-05,)",1.75,0.25,1.75
"(0.030491836813553164,)","(0.0007798757497141651,)","(0.0007798826761984401,)","(0.0003452609630419934,)","(0.00031832313889501584,)","(0.00031832313889601505,)","(-7.35501836459998e-05,)","(4.785884114100018e-05,)","(4.785865013299997e-05,)","(-0.00022476112143599014,)","(3.141357424496505e-05,)","(3.1420692046979504e-05,)","(0.030444887155965716,)","(0.00038228019499797483,)","(0.00038228019499797483,)",1.75,0.5,0.25
"(0.024071658467363477,)","(0.0006587086875526893,)","(0.0006586680167970371,)","(0.0002454919492599905,)","(0.00026190953716301313,)","(0.00026190953716201393,)","(-7.074318067000008e-05,)","(4.460622968600024e-05,)","(4.460488416100023e-05,)","(-0.00020999403181501397,)","(2.7980775507974176e-05,)","(2.794144994697212e-05,)","(0.024106903730967133,)","(0.0003242121449886781,)","(0.0003242121449886781,)",1.75,0.5,0.5
"(0.016413413526777276,)","(0.0004901491504654132,)","(0.0004901476094403279,)","(0.00011352463483998987,)","(0.00019502846439900523,)","(0.00019502846439900523,)","(-6.590994264099983e-05,)","(3.974600197600032e-05,)","(3.9745622175000207e-05,)","(-0.00018200150610697685,)","(2.1683423166968252e-05,)","(2.168226176599286e-05,)","(0.016547800341015773,)","(0.0002336912610019226,)","(0.0002336912610019226,)",1.75,0.5,0.75
"(0.009797250799806534,)","(0.0003282217187177139,)","(0.0003282235828976354,)","(-1.2472144838016064e-05,)","(0.00014091722319800604,)","(0.00014091722319800604,)","(-5.8787113768000044e-05,)","(3.3691639591000144e-05,)","(3.369383538400026e-05,)","(-0.00014309612534496585,)","(1.3575462707970942e-05,)","(1.3575130838994198e-05,)","(0.010011606184036737,)","(0.0001400373930096066,)","(0.0001400373930096066,)",1.75,0.5,1.0
"(0.005194862806092715,)","(0.00022905009510054697,)","(0.00022906153500912296,)","(-0.0001021595869630243,)","(0.0001060787457110024,)","(0.0001060787457120016,)","(-4.9493247419000064e-05,)","(2.6924388899000028e-05,)","(2.692516068700029e-05,)","(-0.00010156079589496159,)","(7.053112640986736e-06,)","(7.0637811609985945e-06,)","(0.005448076437033933,)","(8.899384800997723e-05,)","(8.89938470152174e-05,)",1.75,0.5,1.25
"(0.002476886015386981,)","(0.0001962849806034228,)","(0.0001962272161790679,)","(-0.0001452341763999998,)","(8.25844461020131e-05,)","(8.25844461020131e-05,)","(-3.9039362419999654e-05,)","(2.0679665952000152e-05,)","(2.0675349277000064e-05,)","(-6.598347718597686e-05,)","(5.519892996963538e-06,)","(5.466445602980707e-06,)","(0.002727143030995194,)","(8.750097501319942e-05,)","(8.750097501319942e-05,)",1.75,0.5,1.5
"(0.0010598939507246996,)","(0.00017653536235684442,)","(0.0001765301838929645,)","(-0.00015134293665997056,)","(6.578226183501235e-05,)","(6.578226183501235e-05,)","(-2.916327347600011e-05,)","(1.6445298966999942e-05,)","(1.644593864900002e-05,)","(-4.072001770200062e-05,)","(7.398090084986819e-06,)","(7.392272125983368e-06,)","(0.0012811201780209558,)","(8.690971100122624e-05,)","(8.690971100122624e-05,)",1.75,0.5,1.75
"(0.0206204728059447,)","(0.0005860483639423819,)","(0.0005860569966955609,)","(0.0001878827056809862,)","(0.00023151498314200047,)","(0.00023151498314299968,)","(-6.883814385399978e-05,)","(4.2591003547000177e-05,)","(4.2590689694000164e-05,)","(-0.00019908521489697684,)","(2.546219985899434e-05,)","(2.5471146125999322e-05,)","(0.02070051345901902,)","(0.00028648017701016215,)","(0.00028648017701016215,)",1.75,0.75,0.25
"(0.01641340071699915,)","(0.0004901404121540054,)","(0.0004901377065777979,)","(0.00011352519640100978,)","(0.00019502846086902337,)","(0.00019502846086902337,)","(-6.591207958600012e-05,)","(3.9746868089000215e-05,)","(3.974570227799996e-05,)","(-0.00018201274043400106,)","(2.1673822149959054e-05,)","(2.1672282394968878e-05,)","(0.016547800341015773,)","(0.0002336912610019226,)","(0.0002336912610019226,)",1.75,0.75,0.5
"(0.01132862390278433,)","(0.0003658239176047573,)","(0.00036581841533234183,)","(1.7535249716982282e-05,)","(0.00015294427719700354,)","(0.00015294427719700354,)","(-6.085740194100011e-05,)","(3.53495706470002e-05,)","(3.5348122921999986e-05,)","(-0.00015386458569599526,)","(1.5665404722975396e-05,)","(1.5661350459994505e-05,)","(0.011525810640961254,)","(0.0001618646649887978,)","(0.00016186466399403798,)",1.75,0.75,0.75
"(0.006861891818374488,)","(0.0002607910678307235,)","(0.00026077852751882347,)","(-7.033036092896072e-05,)","(0.00011866516070402344,)","(0.00011866516070302424,)","(-5.3594731982999945e-05,)","(2.9779725741000025e-05,)","(2.9777923328999992e-05,)","(-0.00011859936442504271,)","(9.305229773964863e-06,)","(9.29449200795518e-06,)","(0.007104416274955838,)","(0.00010304095098945254,)","(0.00010304095098945254,)",1.75,0.75,1.0
"(0.0036951840131109748,)","(0.00020785998370342895,)","(0.00020786406113870726,)","(-0.00012829134252001495,)","(9.397862372700905e-05,)","(9.397862372700905e-05,)","(-4.454734709400049e-05,)","(2.3773451924999963e-05,)","(2.3774759510999943e-05,)","(-8.340875109300039e-05,)","(5.656389750974267e-06,)","(5.65915944297779e-06,)","(0.003951431454026988,)","(8.445151800628992e-05,)","(8.445151800628992e-05,)",1.75,0.75,1.25
"(0.0017840236214112792,)","(0.00018973420753809478,)","(0.00018971933778288985,)","(-0.00015119714537198403,)","(7.49387811440072e-05,)","(7.4938781143008e-05,)","(-3.490130297000016e-05,)","(1.8677955503000002e-05,)","(1.867609177499995e-05,)","(-5.459458745601942e-05,)","(6.057814548987572e-06,)","(6.0448082529751535e-06,)","(0.002024716656990222,)","(9.005965600294985e-05,)","(9.005965600294985e-05,)",1.75,0.75,1.5
"(0.0007642939993672826,)","(0.00016560578453095331,)","(0.0001655727537013263,)","(-0.0001479140562559711,)","(6.183005115201201e-05,)","(6.183005115301121e-05,)","(-2.6109243718000063e-05,)","(1.5522232042000216e-05,)","(1.551691808200032e-05,)","(-3.410040777004908e-05,)","(8.1329892899773e-06,)","(8.105272514963291e-06,)","(0.0009724177079988294,)","(8.01205119955739e-05,)","(8.01205119955739e-05,)",1.75,0.75,1.75
"(0.012189646944506194,)","(0.00038714460063715705,)","(0.0003871339966394771,)","(3.422226911303783e-05,)","(0.00015985043577301794,)","(0.00015985043577301794,)","(-6.188929265699963e-05,)","(3.619727080400028e-05,)","(3.619707990299998e-05,)","(-0.00015937662230605665,)","(1.677902348296012e-05,)","(1.6768610286960195e-05,)","(0.012376690590031103,)","(0.00017431787000532495,)","(0.00017431787000532495,)",1.75,1.0,0.25
"(0.009797202900500679,)","(0.0003281978603126845,)","(0.0003282017834465023,)","(-1.2472327029999786e-05,)","(0.00014091713730901567,)","(0.00014091713730801647,)","(-5.879349398899957e-05,)","(3.368998556600028e-05,)","(3.368867943500005e-05,)","(-0.00014313746422697782,)","(1.355334411698439e-05,)","(1.3558573541960772e-05,)","(0.010011606186026256,)","(0.0001400373930096066,)","(0.0001400373930096066,)",1.75,1.0,0.5
"(0.00686188768324314,)","(0.000260779243660636,)","(0.00026078047292799056,)","(-7.032993893002493e-05,)","(0.00011866515787800624,)","(0.00011866515787800624,)","(-5.3597950188000176e-05,)","(2.977716204300004e-05,)","(2.9776894553000272e-05,)","(-0.00011860070362096353,)","(9.295972168976707e-06,)","(9.297468910984819e-06,)","(0.007104416274955838,)","(0.00010304095098945254,)","(0.00010304095098945254,)",1.75,1.0,0.75
"(0.004230908434323055,)","(0.00021457978556327362,)","(0.00021450087072594215,)","(-0.00011939852853398714,)","(9.845890177700989e-05,)","(9.845890177700989e-05,)","(-4.648113302399993e-05,)","(2.498561124800007e-05,)","(2.4975128304000234e-05,)","(-9.016673205902714e-05,)","(6.12802147198499e-06,)","(6.059589326978809e-06,)","(0.004486954827996215,)","(8.50072509877009e-05,)","(8.50072509877009e-05,)",1.75,1.0,1.0
"(0.0023188071846504954,)","(0.00019489958330609625,)","(0.00019488741105533336,)","(-0.00014691734303401427,)","(8.093116500901276e-05,)","(8.093116500901276e-05,)","(-3.818031996500031e-05,)","(2.0234554960999948e-05,)","(2.0234151221000182e-05,)","(-6.353169278797144e-05,)","(5.5593927039687685e-06,)","(5.5476243509822165e-06,)","(0.002567436540005019,)","(8.817446999387357e-05,)","(8.817446999387357e-05,)",1.75,1.0,1.25
"(0.0011311806678122593,)","(0.00017849752381948747,)","(0.00017848499791739414,)","(-0.0001517704382810181,)","(6.672879055300007e-05,)","(6.672879055300007e-05,)","(-2.9819963451999977e-05,)","(1.6668012251000192e-05,)","(1.6667896959000287e-05,)","(-4.2203312869998344e-05,)","(7.237904326995448e-06,)","(7.225493713985953e-06,)","(0.0013549743820249205,)","(8.786281600237089e-05,)","(8.786281600237089e-05,)",1.75,1.0,1.5
"(0.000478635458904364,)","(0.00014841148768596213,)","(0.0001484006462533216,)","(-0.0001406689714920084,)","(5.8179567393013e-05,)","(5.8179567393013e-05,)","(-2.2454960404999762e-05,)","(1.4609317054000304e-05,)","(1.460854794100002e-05,)","(-2.686042003899325e-05,)","(8.693525136965752e-06,)","(8.683452927982227e-06,)","(0.0006686198109946417,)","(6.69290780024312e-05,)","(6.69290780024312e-05,)",1.75,1.0,1.75
"(0.006397397759258183,)","(0.00025126982416168175,)","(0.0002512790993591807,)","(-7.934746725302144e-05,)","(0.00011519168321799667,)","(0.00011519168321799667,)","(-5.256094175199941e-05,)","(2.903991355700025e-05,)","(2.904030816500017e-05,)","(-0.00011408048088096256,)","(8.643384812989652e-06,)","(8.652265721997843e-06,)","(0.006643386649045624,)","(9.839484201279447e-05,)","(9.839484201279447e-05,)",1.75,1.25,0.25
"(0.005194937610838224,)","(0.00022907973323071928,)","(0.00022907790878434753,)","(-0.00010215920715600513,)","(0.00010607868246401142,)","(0.00010607868246401142,)","(-4.949175235999942e-05,)","(2.6926082382000126e-05,)","(2.6925697024000276e-05,)","(-0.00010148786627001138,)","(7.081120570961996e-06,)","(7.079681805965965e-06,)","(0.005448076436039173,)","(8.89938470152174e-05,)","(8.89938470152174e-05,)",1.75,1.25,0.5
"(0.0036951820150932235,)","(0.00020786674684813988,)","(0.0002078499444735371,)","(-0.00012829196257102549,)","(9.397856413601025e-05,)","(9.397856413601025e-05,)","(-4.454550784399993e-05,)","(2.377393151999996e-05,)","(2.3773264660000015e-05,)","(-8.341196719000021e-05,)","(5.66273325697253e-06,)","(5.646597600966752e-06,)","(0.003951431453003806,)","(8.445151800628992e-05,)","(8.445151800628992e-05,)",1.75,1.25,0.75
